x_0, x_1, y
0.155336, -0.095951, 0.033330
0.154869, -0.095586, 0.033115
0.154403, -0.095223, 0.032902
0.153939, -0.094861, 0.032690
0.153475, -0.094499, 0.032479
0.153013, -0.094139, 0.032270
0.152551, -0.093780, 0.032061
0.152091, -0.093422, 0.031854
0.151632, -0.093065, 0.031648
0.151173, -0.092709, 0.031443
0.150716, -0.092354, 0.031240
0.150260, -0.092000, 0.031037
0.149805, -0.091647, 0.030836
0.149350, -0.091296, 0.030636
0.148897, -0.090945, 0.030437
0.148445, -0.090595, 0.030239
0.147994, -0.090247, 0.030042
0.147544, -0.089899, 0.029847
0.147095, -0.089553, 0.029652
0.146647, -0.089207, 0.029459
0.146200, -0.088863, 0.029267
0.145754, -0.088519, 0.029076
0.145309, -0.088177, 0.028886
0.144865, -0.087836, 0.028697
0.144422, -0.087496, 0.028509
0.143980, -0.087156, 0.028323
0.143539, -0.086818, 0.028137
0.143099, -0.086481, 0.027953
0.142660, -0.086145, 0.027769
0.142223, -0.085810, 0.027587
0.141786, -0.085476, 0.027406
0.141350, -0.085143, 0.027226
0.140915, -0.084810, 0.027047
0.140481, -0.084479, 0.026868
0.140048, -0.084149, 0.026691
0.139616, -0.083820, 0.026516
0.139186, -0.083492, 0.026341
0.138756, -0.083165, 0.026167
0.138327, -0.082839, 0.025994
0.137899, -0.082514, 0.025822
0.137472, -0.082190, 0.025651
0.137046, -0.081867, 0.025481
0.136622, -0.081545, 0.025312
0.136198, -0.081224, 0.025145
0.135775, -0.080904, 0.024978
